# [0]SEQN, [1]Timestamp, [2]VCC, [3]Gyro_X, [4]Gyro_Y, [5]Gyro_Z, [6]Acc_X, [7]Acc_Y, [8]Acc_Z, [9]Magn_X, [10]Magn_Y, [11]Magn_Z, [12]Temp, [13]Aux_ADC
90516,117849288423844,5.058456,-0.15,0.4,0.7,9.8294994945,0.0326561445,0.1632807225,7.17e-05,2.085e-05,4.95e-06,31.58,0
90516,117849289557647,5.058456,0.05,0.45,0.65,9.8294994945,0.0326561445,0.195936867,7.17e-05,2.085e-05,4.95e-06,31.58,0
90516,117849290870733,5.058456,0.15,0.4,0.55,9.79684335,0.0326561445,0.195936867,7.16e-05,2.09e-05,4.95e-06,31.58,0
90516,117849292059292,5.058456,0.3,0.35,0.55,9.7641872055,0.0326561445,0.2285930115,7.155e-05,2.09e-05,5e-06,31.58,0
90516,117849293327610,5.058456,0.3,0.3,0.6,9.7641872055,0.0326561445,0.2285930115,7.15e-05,2.09e-05,5e-06,31.58,0
90516,117849294566036,5.058456,0.2,0.2,0.65,9.7641872055,0.0326561445,0.195936867,7.15e-05,2.095e-05,5e-06,31.58,0
90516,117849295571331,5.058456,0.2,0.1,0.65,9.79684335,0.0326561445,0.1632807225,7.15e-05,2.09e-05,5.05e-06,31.58,0
90516,117849296997351,5.058456,0.1,-0.05,0.4,9.8294994945,0.0326561445,0.1632807225,7.15e-05,2.09e-05,5.05e-06,31.58,0
90516,117849298084849,5.058456,0.0,-0.1,0.0,9.8294994945,0.0,0.130624578,7.15e-05,2.085e-05,5.05e-06,31.58,0
90516,117849299451084,5.058456,-0.05,-0.05,-0.25,9.79684335,0.0,0.130624578,7.15e-05,2.085e-05,5.05e-06,31.58,0
90517,117849300571688,5.058456,-0.15,0.1,-0.35,9.79684335,0.0,0.130624578,7.15e-05,2.085e-05,5e-06,31.58,0
90517,117849301898113,5.058456,-0.15,0.35,-0.3,9.7641872055,0.0326561445,0.1632807225,7.155e-05,2.085e-05,5e-06,31.58,0
90517,117849303073682,5.058456,-0.2,0.65,-0.15,9.7641872055,0.0326561445,0.1632807225,7.16e-05,2.085e-05,4.95e-06,31.58,0
90517,117849304345841,5.058456,-0.1,0.85,-0.05,9.79684335,0.0326561445,0.1632807225,7.165e-05,2.085e-05,4.95e-06,31.58,0
90517,117849305575397,5.058456,0.0,0.8,0.0,9.79684335,0.0326561445,0.195936867,7.165e-05,2.085e-05,4.95e-06,31.58,0
90517,117849306578178,5.058456,0.0,0.75,0.1,9.8294994945,0.0326561445,0.195936867,7.165e-05,2.085e-05,4.95e-06,31.58,0
90517,117849308018305,5.058456,0.0,0.55,0.2,9.8294994945,0.0326561445,0.195936867,7.165e-05,2.08e-05,4.95e-06,31.58,0
90517,117849309221391,5.058456,-0.05,0.3,0.3,9.8294994945,0.0326561445,0.195936867,7.16e-05,2.075e-05,5e-06,31.58,0
90517,117849310470083,5.058456,-0.2,0.25,0.3,9.8294994945,0.0326561445,0.1632807225,7.155e-05,2.075e-05,5e-06,31.58,0
90517,117849311586426,5.058456,-0.3,0.25,0.0,9.79684335,0.0326561445,0.195936867,7.155e-05,2.075e-05,5e-06,31.58,0
90517,117849312923258,5.058456,-0.3,0.35,-0.25,9.7641872055,0.0326561445,0.195936867,7.155e-05,2.075e-05,5e-06,31.58,0
90517,117849314084160,5.060874,-0.3,0.5,-0.5,9.731531061,0.0326561445,0.195936867,7.155e-05,2.075e-05,5.05e-06,31.58,0
90517,117849315373360,5.060874,-0.15,0.55,-0.5,9.731531061,0.0326561445,0.2285930115,7.155e-05,2.075e-05,5e-06,31.58,0
90517,117849316585735,5.060874,0.0,0.5,-0.25,9.731531061,0.0326561445,0.2285930115,7.16e-05,2.075e-05,4.95e-06,31.58,0
90517,117849317588167,5.058456,0.25,0.5,0.0,9.7641872055,0.0326561445,0.2285930115,7.165e-05,2.08e-05,4.9e-06,31.58,0
90518,117849319045475,5.058456,0.4,0.45,0.2,9.79684335,0.065312289,0.2285930115,7.175e-05,2.08e-05,4.9e-06,31.58,0
90518,117849320103571,5.058456,0.5,0.45,0.25,9.79684335,0.0326561445,0.2285930115,7.185e-05,2.08e-05,4.85e-06,31.58,0
90518,117849321494041,5.058456,0.6,0.5,0.2,9.8294994945,0.0326561445,0.195936867,7.18e-05,2.075e-05,4.85e-06,31.58,0
90518,117849322594041,5.058456,0.55,0.4,0.15,9.8294994945,0.0326561445,0.195936867,7.175e-05,2.07e-05,4.85e-06,31.58,0
90518,117849323943305,5.060874,0.65,0.25,0.25,9.8294994945,0.0326561445,0.1632807225,7.165e-05,2.065e-05,4.8e-06,31.58,0
90518,117849325097083,5.060874,0.75,0.05,0.4,9.8294994945,0.065312289,0.1632807225,7.155e-05,2.07e-05,4.8e-06,31.58,0
90518,117849326399902,5.060874,0.8,-0.15,0.5,9.8294994945,0.065312289,0.1632807225,7.15e-05,2.075e-05,4.8e-06,31.58,0
